Assembly Name	Assembly Accession	Assembly Paired Assembly Accession	Organism Name	Organism Taxonomic ID	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Number of Scaffolds
ASM1106660v1	GCA_011066605.1		Orbilia oligospora	2813651		TWF103					Annotation submitted by Academia Sinica	Scaffold	2020-03-06	WIQX01	554
ASM1106659v1	GCA_011066595.1		Orbilia oligospora	2813651		TWF703					Annotation submitted by Academia Sinica	Scaffold	2020-03-06	WIQZ01	524
ASM1106669v1	GCA_011066695.1		Orbilia oligospora	2813651		TWF594					Annotation submitted by Academia Sinica	Scaffold	2020-03-06	WIRB01	439
ASM1106692v1	GCA_011066925.1		Orbilia oligospora	2813651		TWF191					Annotation submitted by Academia Sinica	Scaffold	2020-03-06	WIPF01	450
ASM1106688v1	GCA_011066885.1		Orbilia oligospora	2813651		TWF106					Annotation submitted by Academia Sinica	Scaffold	2020-03-06	WIWS01	657
CHRIC2	GCA_903189765.1		Rhizophagus irregularis	588596					CHC2		Annotation submitted by University of Lausanne	Scaffold	2021-06-25	CAEVNM01	123
CHRI_B12	GCA_903470525.1		Rhizophagus irregularis	588596					CHB12		Annotation submitted by University of Lausanne	Scaffold	2021-06-25	CAGKOT01	121
CHRIC5	GCA_903470595.1		Rhizophagus irregularis	588596					CHC5		Annotation submitted by University of Lausanne	Scaffold	2021-06-25	CAGKPD01	372
CHRIA1	GCA_903189815.1		Rhizophagus irregularis	588596					CHA1		Annotation submitted by University of Lausanne	Scaffold	2021-06-25	CAEVNS01	151
CHRIA5	GCA_903231485.1		Rhizophagus irregularis	588596					CHA5		Annotation submitted by University of Lausanne	Scaffold	2021-06-25	CAFBRS01	820
Rhizophagus_irregularis_DAOM197198	GCA_910592225.1		Rhizophagus irregularis	588596		DAOM197198			DAOM197198		Annotation submitted by UPPSALA UNIVERISTY	Contig	2021-11-12	CAJVPR01	15939
ASM159313v2	GCA_001593135.2		Rhizophagus irregularis	588596		B3					Annotation submitted by University of Ottawa	Scaffold	2016-03-16	LLXK01	10251
ASM159315v1	GCA_001593155.1		Rhizophagus irregularis	588596		C2					Annotation submitted by University of Ottawa	Scaffold	2016-03-16	LLXL01	10735
ASM159312v1	GCA_001593125.1		Rhizophagus irregularis	588596		A1					Annotation submitted by University of Ottawa	Scaffold	2016-03-16	LLXH01	11196
ASM159320v1	GCA_001593205.1		Rhizophagus irregularis	588596		A5					Annotation submitted by University of Ottawa	Scaffold	2016-03-16	LLXJ01	14476
ASM159314v1	GCA_001593145.1		Rhizophagus irregularis	588596		A4					Annotation submitted by University of Ottawa	Scaffold	2016-03-16	LLXI01	11269
Rir_HGAP_ii_V2.1	GCA_002897155.2		Rhizophagus irregularis DAOM 181602=DAOM 197198	747089		DAOM 181602=DAOM 197198					Annotation submitted by NIBB core research facilities, National Institues for Basic Biology	Contig	2022-01-11	BDIQ02	210
Schco_TatD_1	GCA_023508785.1		Schizophyllum commune Tattone D	1314663		Tattone D					Annotation submitted by DOE Joint Genome Institute	Scaffold	2022-05-17	JAIQYW01	1707
Schco_LoeD_1	GCA_023508725.1		Schizophyllum commune Loenen D	1314666		Loenen D					Annotation submitted by DOE Joint Genome Institute	Scaffold	2022-05-17	JAIQUK01	1774
Rir	GCA_000597685.1		Rhizophagus irregularis DAOM 197198w	1432141		DAOM 197198w					Annotation submitted by Laboratory of Computational Molecular Biology, College of Life Sciences, Beijing Normal University	Scaffold	2014-03-18	JEMT01	30233
ASM412021v1	GCA_004120215.1		Labeo rohita	84645	JAYANTI				DASCIFA01	male	Annotation submitted by Central Institute of Freshwater Aquaculture	Scaffold	2019-01-30	QBIY01	13622
ASM171748v1	GCA_001717485.1		Aspergillus cristatus	573508		GZAAS20.1005					Annotation submitted by Guizhou academy of Agricultural Sciences	Scaffold	2016-08-31	JXNT01	68
ASM863291v2	GCA_008632915.2		Prunus dulcis	3755							Annotation submitted by Sequentia Biotech SL	Scaffold	2019-09-20		1514
ASM654248v1	GCA_006542485.1		Monascus purpureus	5098					HQ1		Annotation submitted by Hubei University of Technology	Scaffold	2019-07-02	VIFY01	579
Gbim_1.0	GCA_017312745.1		Gryllus bimaculatus	6999		white eyes					Annotation submitted by Department of Bioscience and Bioindustry, Tokushima University	Scaffold	2021-02-12	BOPP01	47877
ETH001	GCA_000499545.1	GCF_000499545.2	Eimeria tenella	5802		Houghton					Annotation submitted by SC	Scaffold	2013-11-06	CBUW01	4664
mRhiFer1.p	GCA_014108255.1		Rhinolophus ferrumequinum	59479					mRhiFer1	female	Annotation submitted by Bat1K	Scaffold	2020-08-13	JACAGC01	49
ASM3014330v2	GCA_030143305.2		Amblyomma americanum	6943					F_SG_1	female	Annotation submitted by Arcadia Science	Scaffold	2024-05-02	JARKHS02	36881
AGRO-Manis	GCA_039654215.1	GCF_039654215.1	Metarhizium anisopliae	5530					MEAPA 0093		Annotation submitted by Corporacion Colombiana de Investigacion Agropecuaria AGROSAVIA	Contig	2024-05-06	JAZHPI01	28
AGRO-Manis	GCF_039654215.1	GCA_039654215.1	Metarhizium anisopliae	5530					MEAPA 0093		Annotation submitted by Corporacion Colombiana de Investigacion Agropecuaria AGROSAVIA	Contig	2024-05-06	JAZHPI01	28
Metarhizium anisopliae	GCA_000739145.1		Metarhizium anisopliae	5530		E6					Annotation submitted by LNCC	Contig	2014-08-12	JNNZ01	366
ASM1341676v1	GCA_013416765.1		Bipolaris sorokiniana	45130		(Sacc.) Shoemaker					Annotation submitted by College of Agronomy	Scaffold	2020-07-16	WNKQ01	96
ASM367555v2	GCA_003675555.2		Clavispora lusitaniae	36911		L17					Annotation submitted by University of California, Riverside	Contig	2020-06-18	QOBI02	8
ASM1760746v1	GCA_017607465.1		Histoplasma capsulatum	5037		G184AR					Annotation submitted by University of California, San Francisco	Contig	2021-03-30	JAEVHI01	11
ASM15100v2	GCA_000151005.2		Histoplasma capsulatum var. duboisii H88	544711		H88					Annotation submitted by Broad Institute	Scaffold	2011-02-28	ABRJ01	16
ASM42698v1	GCA_000426985.1		Metarhizium anisopliae BRIP 53284	1291519		BRIP 53284					Annotation submitted by EH Graham Centre for Agricultural Innovation, School of Agricultural and Wine Sciences, Charles Sturt University	Scaffold	2015-03-18	APNC01	1193
ASM42696v1	GCA_000426965.1		Metarhizium anisopliae BRIP 53293	1291518		BRIP 53293					Annotation submitted by EH Graham Centre for Agricultural Innovation, School of Agricultural and Wine Sciences, Charles Sturt University	Scaffold	2015-03-18	APNB01	577
ASM15103v1	GCA_000151035.1		Histoplasma capsulatum H143	544712		H143					Annotation submitted by Broad Institute	Scaffold	2009-06-19	ABRK01	48
Tenebrio_molitor_v3	GCA_907166875.3		Tenebrio molitor	7067							Annotation submitted by Genoscope CEA	Scaffold	2022-01-27	CAJRHG03	111
PurlilIFM63780_1.0	GCA_023168115.2		Purpureocillium lilacinum	33203		IFM 63780					Annotation submitted by Medical Mycology Research Center	Contig	2022-06-24	BQKX01	10
ASM4645245v1	GCA_046452455.1		Purpureocillium lilacinum	33203					NCHU-NPUST-175		Annotation submitted by National Chung Hsing University	Contig	2025-01-02	JBGNUJ01	13
EGII-3.2.1	GCA_905071925.1		Ceratitis capitata	7213		EGII					Annotation submitted by CENTRE FOR GENOMIC RESEARCH UNIVERSITY OF LIVERPOOL	Scaffold	2020-11-22	CAJHJT01	71
ASM314460v1	GCA_003144605.1		Purpureocillium lilacinum	33203		36-1					Annotation submitted by Huazhong Agricultural University	Scaffold	2018-05-21	LCWV01	240
Purlil1	GCA_033847395.1		Purpureocillium lilacinum	33203		CBS 150709					Annotation submitted by Utrecht University	Scaffold	2023-11-21	JAWRVI01	913
ASM165320v1	GCA_001653205.1		Purpureocillium lilacinum	33203					PLBJ-1		Annotation submitted by The Institute of Vegetables and Flowers CAAS	Scaffold	2016-05-27	LSBH01	144
ASM2772521v1	GCA_027725215.1		Tenebrio molitor	7067					QUTm001		Annotation submitted by Open Plastic	Scaffold	2023-01-12	JALNUA01	1986
ASM1446268v1	GCA_014462685.1		Rhynchophorus ferrugineus	354439					AA-2017		Annotation submitted by King Abdulaziz City for Science and Technology	Scaffold	2020-09-03	JAACXV01	24004
ASM3324228v1	GCA_033242285.1		Ficus carica	3494			Masui Dauphine				Annotation submitted by Toyo Institute of Food Technology	Scaffold	2023-07-19	BTGU01	22499
Tmol_A_ngnome66x_run1.1_130x_genome_v2	GCA_014282415.3		Tenebrio molitor	7067		Stoneville				male	Annotation submitted by Indiana University - Purdue University Indianapolis	Scaffold	2021-05-14	JABDTM02	31100
ASM1339020v1	GCA_013390205.1		Colletotrichum fructicola	690256		Cf413					Annotation submitted by RIKEN	Contig	2020-07-06	QPMX01	14
ASM3707540v1	GCA_037075405.1		Aspergillus parasiticus	5067		MM36					Annotation submitted by National Technical University of Athens (NTUA)	Scaffold	2024-03-08	JAWDVE01	321
RIKEN_CfrS1_1	GCA_012932255.1		Colletotrichum fructicola	690256		Cg38 S1					Annotation submitted by RIKEN	Scaffold	2020-04-29	QLYQ01	600
ASM1320192v1	GCA_013201925.1		Colletotrichum fructicola	690256		Cf245					Annotation submitted by RIKEN	Scaffold	2020-06-01	QPMY01	1194
ASM1320190v1	GCA_013201905.1		Colletotrichum fructicola	690256		Cf415					Annotation submitted by RIKEN	Scaffold	2020-06-01	QPMW01	805
Asppar1	GCA_009176385.1		Aspergillus parasiticus	5067		CBS 117618					Annotation submitted by DOE Joint Genome Institute	Scaffold	2019-10-18	SWCZ01	270
ASM1320187v1	GCA_013201875.1		Colletotrichum fructicola	690256		CfS4					Annotation submitted by RIKEN	Scaffold	2020-06-01	QPMV01	1588
gzRhiMicr1	GCA_977110955.1		Rhizopus microsporus	58291							Annotation submitted by ELIXIR Norway	Contig	2025-12-07	CDSBDI01	22
Rhimi59_2	GCA_046865755.1		Rhizopus microsporus	58291		ATCC 11559					Annotation submitted by DOE Joint Genome Institute	Contig	2025-01-21	JBFXLZ01	79
Rhimi_ATCC11559_1	GCA_002083735.1		Rhizopus microsporus	58291		ATCC 11559					Annotation submitted by DOE Joint Genome Institute	Scaffold	2017-04-12	MCOJ01	595
ASM1176347v1	GCA_011763475.1		Rhizopus microsporus	58291		GL61					Annotation submitted by J Craig Venter Institute	Scaffold	2020-03-27	JAANIM01	3651
ASM1176262v1	GCA_011762625.1		Rhizopus microsporus	58291		GL35					Annotation submitted by J Craig Venter Institute	Scaffold	2020-03-27	JAANIL01	3625
ASM1176263v1	GCA_011762635.1		Rhizopus microsporus	58291		GL58					Annotation submitted by J Craig Venter Institute	Scaffold	2020-03-27	JAANIK01	4780
ASM1176356v1	GCA_011763565.1		Rhizopus microsporus	58291		GL28					Annotation submitted by J Craig Venter Institute	Scaffold	2020-03-27	JAANIN01	7164
ASM282v3	GCA_000002825.3		Trichomonas vaginalis G3	412133		G3					Annotation submitted by TIGR	Scaffold	2022-12-02	AAHC03	64769
ASM95608v1	GCA_000956085.1		Aspergillus parasiticus SU-1	1403190		SU-1					Annotation submitted by JCVI	Contig	2015-03-18	JZEE01	753
Rhimi_ATCC52814_1	GCA_002083745.1		Rhizopus microsporus var. microsporus	86635		ATCC 52814					Annotation submitted by DOE Joint Genome Institute	Scaffold	2017-04-12	MCGZ01	560
Marmota_monax_Labrador192_R-V1.1	GCA_024703135.1		Marmota monax	9995					L192	male	Annotation submitted by The Hospital for Sick Children	Scaffold	2022-08-16	JAMOFY01	2685
ASM211142v1	GCA_002111425.1		Lasiodiplodia theobromae	45133		CSS-01s					Annotation submitted by Beijing Academy of Agriculture and Forestry Sciences	Scaffold	2017-04-26	MDYX01	29
Woodchuck_1.0	GCA_014533835.1		Marmota monax	9995				Northwest Wildlife	WC2-LM	male	Annotation submitted by Johns Hopkins University	Contig	2020-09-15	WJEC01	8859
ASM96522v2	GCA_000965225.2		Ustilaginoidea virens	1159556		IPU010					Annotation submitted by Computational Biology Research Center (CBRC), National Institute of Advanced Industrial Science and Technology (AIST)	Contig	2016-01-29	BBTG02	139
ASM893188v1	GCA_008931885.1		Lasiodiplodia theobromae	45133		LA-SOL3					Annotation submitted by University of Aveiro	Scaffold	2019-10-09	VCHE01	414
MONAX5	GCA_901343595.1		Marmota monax	9995							Annotation submitted by CNAG	Scaffold	2019-09-13	CABDUW01	48534
CUNY_Mgla_1.0	GCA_038090675.1		Myodes glareolus	447135					V071	male	Annotation submitted by Baruch College, City University of New York	Scaffold	2024-04-12	JBBHLL01	16849
ASM2640137v1	GCA_026401375.1		Pythium insidiosum	114742		Pi050C3					Annotation submitted by Kasetsart University	Scaffold	2022-11-25	JAKCXL01	14511
ASM2640139v1	GCA_026401395.1		Pythium insidiosum	114742		Pi057C3					Annotation submitted by Kasetsart University	Scaffold	2022-11-25	JAKCXM01	14134
Tp1.0	GCA_000583005.2		Trifolium pratense	57577			Tatra				Annotation submitted by Masaryk University	Contig	2016-02-24	ASHM01	267372
Macpha1	GCA_020744275.1		Macrophomina phaseolina	35725		MPI-SDFR-AT-0080					Annotation submitted by DOE Joint Genome Institute	Contig	2021-11-04	JAGTJR01	184
ASM2470402v1	GCA_024704025.1		Pyricularia grisea	148305		D15/s37					Annotation submitted by University of Bedfordshire	Scaffold	2022-08-16	JABSND01	782
ASM2470413v1	GCA_024704135.1		Pyricularia grisea	148305		D1/s49					Annotation submitted by University of Bedfordshire	Scaffold	2022-08-16	JABSNF01	1123
ASM148298v1	GCA_001482985.1		Phytophthora nicotianae	4792		race 1					Annotation submitted by Chinese Academy of Sciences	Scaffold	2015-12-29	LNFP01	5317
ASM148301v1	GCA_001483015.1		Phytophthora nicotianae	4792		race 0					Annotation submitted by Chinese Academy of Sciences	Scaffold	2015-12-29	LNFO01	6142
Phyt_para_CJ02B3_V1	GCA_000509465.1		Phytophthora nicotianae	4792		CJ02B3					Annotation submitted by Broad Institute	Scaffold	2013-12-18	AVGB01	6489
Phyt_para_IAC_01_95_V1	GCA_000509525.1		Phytophthora nicotianae	4792		IAC_01/95					Annotation submitted by Broad Institute	Scaffold	2013-12-18	AVGE01	6791
Phyt_para_CHvinca01_V1	GCA_000509505.1		Phytophthora nicotianae	4792		CHvinca01					Annotation submitted by Broad Institute	Scaffold	2013-12-18	AVGD01	6724
Phyt_para_CJ05E6_V1	GCA_000509485.1		Phytophthora nicotianae	4792		CJ05E6					Annotation submitted by Broad Institute	Scaffold	2013-12-18	AVGC01	6813
gzMucCirc1	GCA_973907015.1		Mucor circinelloides	36080							Annotation submitted by ELIXIR Norway	Contig	2025-10-26	CDACDM01	48
Mcir_PS15p_1.0	GCA_051307255.1		Mucor circinelloides	36080		CBS 172.27					Annotation submitted by Duke University School of Medicine	Contig	2025-07-14	JBNRQL01	15
Coph_MacrARSEF324_H2_v1.0	GCA_019434395.1		Metarhizium acridum	92637		ARSEF 324					Annotation submitted by University of Copenhagen	Scaffold	2021-07-30	JAGRQL01	564
Pleery1	GCA_015484515.1		Pleurotus eryngii	5323		ATCC 90797					Annotation submitted by DOE Joint Genome Institute	Scaffold	2020-11-15	JADNRH01	609
ASM1920759v1	GCA_019207595.1		Ogataea parapolymorpha	1005962					CBS 11895		Annotation submitted by Colorado College	Scaffold	2021-07-13	JAHLVG01	66
ASM1920769v1	GCA_019207695.1		Ogataea parapolymorpha	1005962					73-26		Annotation submitted by Colorado College	Scaffold	2021-07-13	JAHLVH01	91
Dpv3	GCA_000235995.2		Danaus plexippus plexippus	278856					F-2	female	Annotation submitted by Steven M. Reppert	Scaffold	2017-06-23	AGBW02	5395
MphMS6_1.0	GCA_000302655.1		Macrophomina phaseolina MS6	1126212		MS6					Annotation submitted by Advanced Studies of Genomics, Proteomics and Bioinformatics (ASGPB), University of Hawaii & Basic and Applied Research on Jute (BARJ), Bangladesh Jute Research Institute	Contig	2012-10-03	AHHD01	1506
Muco_sp_1006Ph_V1	GCA_000401635.1		Mucor circinelloides 1006PhL	1220926		1006PhL					Annotation submitted by Broad Institute	Scaffold	2013-06-07	AOCY01	470
Phyt_para_P1976_V1	GCA_000365525.1		Phytophthora nicotianae P1976	1317066		P1976					Annotation submitted by Broad Institute	Contig	2013-04-16	ANJA01	5293
Phyt_para_CJ01A1_V1	GCA_000365545.1		Phytophthora nicotianae CJ01A1	1317063		CJ01A1					Annotation submitted by Broad Institute	Contig	2013-04-16	ANIX01	5546
Phyt_para_P1569_V1	GCA_000365505.1		Phytophthora nicotianae P1569	1317065		P1569					Annotation submitted by Broad Institute	Contig	2013-04-16	ANIZ01	5010
Phyt_para_P10297_V1	GCA_000367145.1		Phytophthora nicotianae P10297	1317064		P10297					Annotation submitted by Broad Institute	Contig	2013-04-16	ANIY01	5827
C4012	GCA_040550855.1		Brassica carinata	52824			CGN04012		Ethiopian		Annotation submitted by Huazhong Agricultural University	Scaffold	2024-07-08	JASCRO01	519
ASM1339679v1	GCA_013396795.1		Dromaius novaehollandiae	8790					B10K-LSUMZ-23963	female	Annotation submitted by B10K Consortium	Scaffold	2020-07-10	VWZH01	3302
ASM2000448v1	GCA_020004485.1		Microtus ochrogaster	79684					LTLLF	male	Annotation submitted by Novartis AG	Scaffold	2021-09-15	JAATJU01	28300
F_hepatica_1.0.allpaths.pg	GCA_002763495.2		Fasciola hepatica	6192							Annotation submitted by The Genome Institute	Scaffold	2019-04-17	JXXN02	23604
ASM944546v1	GCA_009445465.1		Colocasia esculenta	4460			Niue		Niue_2		Annotation submitted by The American Samoa Community College Taro Genome Sequencing Consortium	Scaffold	2019-10-31	NMUH01	255467
ASM1180164v2	GCA_011801645.2		Rhizopus arrhizus	64495		GL49					Annotation submitted by J Craig Venter Institute	Scaffold	2020-04-01	JAANRB01	13571
ASM1180103v2	GCA_011801035.2		Rhizopus arrhizus	64495		GL38					Annotation submitted by J Craig Venter Institute	Scaffold	2020-04-01	JAANRN01	13326
ASM1180160v2	GCA_011801605.2		Rhizopus arrhizus	64495		GL56					Annotation submitted by J Craig Venter Institute	Scaffold	2020-04-01	JAANRT01	13533
ASM1195217v2	GCA_011952175.2		Rhizopus arrhizus	64495		GL32					Annotation submitted by J Craig Venter Institute	Scaffold	2020-04-08	JAANRK01	12964
ASM1180157v2	GCA_011801575.2		Rhizopus arrhizus	64495		GL34					Annotation submitted by J Craig Venter Institute	Scaffold	2020-04-01	JAANRW01	13074
ASM1180149v1	GCA_011801495.1		Rhizopus arrhizus	64495		GL45					Annotation submitted by J Craig Venter Institute	Scaffold	2020-04-01	JAANRV01	14223
ASM1180095v2	GCA_011800955.2		Rhizopus arrhizus	64495		GL40					Annotation submitted by J Craig Venter Institute	Scaffold	2020-04-01	JAANRM01	16755
ASM1195094v2	GCA_011950945.2		Rhizopus arrhizus	64495		GL41					Annotation submitted by J Craig Venter Institute	Scaffold	2020-04-08	JAANRD01	13301
ASM1180098v2	GCA_011800985.2		Rhizopus arrhizus	64495		GL53					Annotation submitted by J Craig Venter Institute	Scaffold	2020-04-01	JAANRL01	13584
ASM1180150v2	GCA_011801505.2		Rhizopus arrhizus	64495		GL44					Annotation submitted by J Craig Venter Institute	Scaffold	2020-04-01	JAANRU01	13276
ASM1195214v2	GCA_011952145.2		Rhizopus arrhizus	64495		GL37					Annotation submitted by J Craig Venter Institute	Scaffold	2020-04-08	JAANRJ01	13409
ASM1180155v2	GCA_011801555.2		Rhizopus arrhizus	64495		GL52					Annotation submitted by J Craig Venter Institute	Scaffold	2020-04-01	JAANRX01	13278
ASM1180130v2	GCA_011801305.2		Rhizopus arrhizus	64495		GL46					Annotation submitted by J Craig Venter Institute	Scaffold	2020-04-01	JAANRS01	13376
ASM1180105v2	GCA_011801055.2		Rhizopus arrhizus	64495		GL31					Annotation submitted by J Craig Venter Institute	Scaffold	2020-04-01	JAANRO01	13463
ASM1176393v1	GCA_011763935.1		Rhizopus arrhizus	64495		GL60					Annotation submitted by J Craig Venter Institute	Scaffold	2020-03-27	JAANJC01	12992
ASM1195098v2	GCA_011950985.2		Rhizopus arrhizus	64495		GL43					Annotation submitted by J Craig Venter Institute	Scaffold	2020-04-08	JAANRF01	13738
ASM1195128v2	GCA_011951285.2		Rhizopus arrhizus	64495		GL42					Annotation submitted by J Craig Venter Institute	Scaffold	2020-04-08	JAANRG01	13963
ASM1176395v1	GCA_011763955.1		Rhizopus arrhizus	64495		GL36					Annotation submitted by J Craig Venter Institute	Scaffold	2020-03-27	JAANJD01	13174
ASM1180172v2	GCA_011801725.2		Rhizopus arrhizus	64495		GL30					Annotation submitted by J Craig Venter Institute	Scaffold	2020-04-01	JAANQX01	23265
ASM1180138v2	GCA_011801385.2		Rhizopus arrhizus	64495		GL29					Annotation submitted by J Craig Venter Institute	Scaffold	2020-04-01	JAANRR01	18680
ASM1176387v1	GCA_011763875.1		Rhizopus arrhizus	64495		GL20					Annotation submitted by J Craig Venter Institute	Scaffold	2020-03-27	JAANIZ01	18827
ASM1180167v2	GCA_011801675.2		Rhizopus arrhizus	64495		GL26					Annotation submitted by J Craig Venter Institute	Scaffold	2020-04-01	JAANQW01	22334
ASM1180181v2	GCA_011801815.2		Rhizopus arrhizus	64495		GL17					Annotation submitted by J Craig Venter Institute	Scaffold	2020-04-01	JAANQU01	26349
ASM1176402v1	GCA_011764025.1		Rhizopus arrhizus	64495		GL11					Annotation submitted by J Craig Venter Institute	Scaffold	2020-03-27	JAANQT01	24968
ASM1176377v1	GCA_011763775.1		Rhizopus arrhizus	64495		GL16					Annotation submitted by J Craig Venter Institute	Scaffold	2020-03-27	JAANIT01	30180
ASM1195129v2	GCA_011951295.2		Rhizopus arrhizus	64495		GL3					Annotation submitted by J Craig Venter Institute	Scaffold	2020-04-08	JAANRC01	28964
ASM1180178v2	GCA_011801785.2		Rhizopus arrhizus	64495		GL10					Annotation submitted by J Craig Venter Institute	Scaffold	2020-04-01	JAANQR01	23970
ASM1195204v2	GCA_011952045.2		Rhizopus arrhizus	64495		GL6					Annotation submitted by J Craig Venter Institute	Scaffold	2020-04-08	JAANRH01	27834
ASM1180133v2	GCA_011801335.2		Rhizopus arrhizus	64495		GL22					Annotation submitted by J Craig Venter Institute	Scaffold	2020-04-01	JAANRP01	28745
ASM1180170v2	GCA_011801705.2		Rhizopus arrhizus	64495		GL2					Annotation submitted by J Craig Venter Institute	Scaffold	2020-04-01	JAANQY01	30975
ASM1195211v2	GCA_011952115.2		Rhizopus arrhizus	64495		GL7					Annotation submitted by J Craig Venter Institute	Scaffold	2020-04-08	JAANRI01	30766
ASM1176397v1	GCA_011763975.1		Rhizopus arrhizus	64495		GL48					Annotation submitted by J Craig Venter Institute	Scaffold	2020-03-27	JAANJF01	28190
ASM1176418v1	GCA_011764185.1		Rhizopus arrhizus	64495		GL21					Annotation submitted by J Craig Venter Institute	Scaffold	2020-03-27	JAANRA01	42498
ASM1176399v1	GCA_011763995.1		Rhizopus arrhizus	64495		GL9					Annotation submitted by J Craig Venter Institute	Scaffold	2020-03-27	JAANJE01	34282
ASM1176412v1	GCA_011764125.1		Rhizopus arrhizus	64495		GL8					Annotation submitted by J Craig Venter Institute	Scaffold	2020-03-27	JAANQV01	34281
ASM1176422v1	GCA_011764225.1		Rhizopus arrhizus	64495		GL4					Annotation submitted by J Craig Venter Institute	Scaffold	2020-03-27	JAANRQ01	35840
ASM1176426v1	GCA_011764265.1		Rhizopus arrhizus	64495		GL5					Annotation submitted by J Craig Venter Institute	Scaffold	2020-03-27	JAANRE01	40414
CLO192961	GCA_902085965.1		Clonostachys rosea	29856							Annotation submitted by SWEDISH UNIVERSITY OF AGRICULTURAL SCIENCES	Scaffold	2021-09-27	CABFNS01	1149
ASM359527v1	GCA_003595275.1		Batrachochytrium dendrobatidis	109871		RTP6					Annotation submitted by University of Otago	Contig	2018-09-25	QUAD01	59
UCR_BdCLFT044_1.0	GCA_036783925.1		Batrachochytrium dendrobatidis	109871		CLFT044					Annotation submitted by University of California, Riverside	Scaffold	2024-02-22	JAQIHF01	75
UCR_BdCLFT067_1.0	GCA_036289345.1		Batrachochytrium dendrobatidis	109871		CLFT067					Annotation submitted by University of California, Riverside	Scaffold	2024-01-30	JAZDSG01	86
UCR_BdCLFT071_1.0	GCA_029704095.1		Batrachochytrium dendrobatidis	109871		CLFT071					Annotation submitted by University of California, Riverside	Scaffold	2023-04-12	JAQQXB01	85
BD_JEL423	GCA_000149865.1		Batrachochytrium dendrobatidis JEL423	403673		JEL423					Annotation submitted by Broad Institute	Scaffold	2006-10-25	AATT01	69
Corynespora cassiicola v1.0	GCA_003016335.1		Corynespora cassiicola Philippines	1448308		Philippines					Annotation submitted by DOE Joint Genome Institute	Scaffold	2018-03-26	NSJI01	244
C_rosea_IK726	GCA_902827195.2		Clonostachys rosea f. rosea IK726	1349383							Annotation submitted by SWEDISH UNIVERSITY OF AGRICULTURAL SCIENCES	Scaffold	2022-05-03	CADEHS02	761
ASM2460508v1	GCA_024605085.1		Manis javanica	9974					GXMJ001	female	Annotation submitted by Guangxi University	Contig	2022-08-09	JAMQTK01	2544
CUHK_Bbel	GCA_025402995.1		Branchiostoma belcheri	7741					beihai		Annotation submitted by The Chinese University of Hong Kong	Scaffold	2022-09-26	JALCYT01	583
AR155_1.0	GCA_011392495.1		Talaromyces pinophilus	128442		AR155					Annotation submitted by Embrapa Agroenergia	Scaffold	2020-03-17	QMIJ01	18
MEDL1	GCA_905397895.1		Mytilus edulis	6550							Annotation submitted by Institute of Aquaculture, University of Stirling, Stirling, UK	Scaffold	2021-06-17	CAJPWZ01	3339
Tcel_Rcb_2.1	GCA_009805475.2		Talaromyces pinophilus	128442		NA01					Annotation submitted by JNU	Contig	2022-09-13	RWIE02	828
ASM2143694v2	GCA_021436945.2		Botryosphaeria dothidea	55169		M68-17					Annotation submitted by Agriculture and Agri-Food Canada	Scaffold	2024-04-12	JAJVDB02	646
Dpon_M_20191212v2	GCA_020466635.2		Dendroctonus ponderosae	77166					MF_Combo_2020	male	Annotation submitted by Natural Resources Canada	Scaffold	2021-10-13	JAFETF01	1669
DendPond_female_1.0	GCA_000346045.2		Dendroctonus ponderosae	77166						female	Annotation submitted by BC Cancer Agency, Canada's Michael Smith Genome Sciences Centre	Scaffold	2013-09-23	APGL01	6520
AtubIFM61612_1.0	GCA_027923925.1		Aspergillus tubingensis	5068		IFM 61612					Annotation submitted by Medical Mycology Research Center	Contig	2022-12-15	BRPH01	15
AtubIFM56815_1.0	GCA_027923885.1		Aspergillus tubingensis	5068		IFM 56815					Annotation submitted by Medical Mycology Research Center	Scaffold	2022-12-15	BRPE01	26
AtubIFM57258_1.0	GCA_027923685.1		Aspergillus tubingensis	5068		IFM 57258					Annotation submitted by Medical Mycology Research Center	Scaffold	2022-12-15	BRPG01	84
AtubIFM54640_1.0	GCA_027923605.1		Aspergillus tubingensis	5068		IFM 54640					Annotation submitted by Medical Mycology Research Center	Scaffold	2022-12-15	BRPC01	183
AtubIFM55763_1.0	GCA_027923625.1		Aspergillus tubingensis	5068		IFM 55763					Annotation submitted by Medical Mycology Research Center	Scaffold	2022-12-15	BRPD01	248
AtubIFM57143_1.0	GCA_027923665.1		Aspergillus tubingensis	5068		IFM 57143					Annotation submitted by Medical Mycology Research Center	Scaffold	2022-12-15	BRPF01	120
ASM1229554v2	GCA_012295545.2		Penicillium digitatum	36651		DSM 62840					Annotation submitted by Huazhong Agricultural University	Scaffold	2020-12-16	JAAQRF02	31
PdigPHI26_v1	GCA_000315665.1		Penicillium digitatum PHI26	1170229		PHI26					Annotation submitted by Center for Genomic Regulation (CRG)	Scaffold	2012-12-03	AKCT01	100
