Assembly Accession	Assembly Name	Organism Name	Organism Taxonomic ID	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Number of Scaffolds
GCA_013399415.1	ASM1339941v1	Sagittarius serpentarius	56258					B10K-DU-011-38	male	Annotation submitted by B10K Consortium	Scaffold	2020-07-10	VWYJ01	61483
GCA_000265015.1	Auricularia subglabra SS-5 V1.0	Auricularia subglabra TFB-10046 SS5	717982		TFB-10046 SS5					Annotation submitted by JGI	Scaffold	2012-06-29	AFVO01	1531
GCF_000265015.1	Auricularia subglabra SS-5 V1.0	Auricularia subglabra TFB-10046 SS5	717982		TFB-10046 SS5					Annotation submitted by NCBI RefSeq	Scaffold	2012-06-29	AFVO01	1531
GCA_905321285.1	Rg_RM15_reference_genomic_v1	Rotaria magnacalcarata	392030							Annotation submitted by IMPERIAL COLLEGE LONDON	Scaffold	2021-03-20	CAJNRF01	18391
GCA_024243815.1	naus_LUAm28	Nematocida ausubeli	1913371		LUAm28					Annotation submitted by University of Toronto	Scaffold	2022-07-13	JALPMM01	363
GCA_905261645.1	Rg_MAG1_reference_genomic_v1	Rotaria magnacalcarata	392030							Annotation submitted by IMPERIAL COLLEGE LONDON	Scaffold	2021-03-20	CAJNOV01	19184
GCA_024243895.1	naus_JUm2796	Nematocida ausubeli	1913371		JUm2796					Annotation submitted by University of Toronto	Scaffold	2022-07-13	JALPMQ01	353
GCA_905273325.1	Rg_MAG2_reference_genomic_v1	Rotaria magnacalcarata	392030							Annotation submitted by IMPERIAL COLLEGE LONDON	Scaffold	2021-03-22	CAJNOW01	22216
GCA_027579385.1	UCR_CoacNRRL2694_1.0	Coemansia aciculifera	417176		NRRL 2694					Annotation submitted by DOE Joint Genome Institute	Scaffold	2023-01-06	JANBUZ01	474
GCA_905319835.1	Rg_MAG3_reference_genomic_v1	Rotaria magnacalcarata	392030							Annotation submitted by IMPERIAL COLLEGE LONDON	Scaffold	2021-03-20	CAJNRE01	22132
GCA_015502565.1	UCR_MambBC1291	Actinomortierella ambigua	1343610		BC1291					Annotation submitted by DOE Joint Genome Institute	Scaffold	2020-11-16	JAAAUS01	2278
GCA_905321535.1	Rg_RM9_reference_genomic_v1	Rotaria magnacalcarata	392030							Annotation submitted by IMPERIAL COLLEGE LONDON	Scaffold	2021-03-20	CAJNRG01	19520
GCA_004794745.1	tlon_1.0	Temnothorax longispinosus	300112						male	Annotation submitted by Westfaelische Wilhelms-University	Scaffold	2019-04-15	QBLH01	3987
GCA_024243685.1	naus_LUAm27	Nematocida ausubeli	1913371		LUAm27					Annotation submitted by University of Toronto	Scaffold	2022-07-13	JALPMI01	420
GCA_024243925.1	naus_JUm2520	Nematocida ausubeli	1913371		JUm2520					Annotation submitted by University of Toronto	Scaffold	2022-07-13	JALPMR01	423
GCA_013399555.1	ASM1339955v1	Circaetus pectoralis	321084					B10K-DU-010-60	male	Annotation submitted by B10K Consortium	Scaffold	2020-07-10	VZZV01	4190
GCA_027604745.1	ASM2760474v1	Chytriomyces hyalinus	4814		JEL0176					Annotation submitted by DOE Joint Genome Institute	Contig	2023-01-09	JADHYZ01	2196
GCA_900618365.1	T_callipaeda_Ticino_0011_upd	Thelazia callipaeda	103827							Annotation submitted by WTSI	Scaffold	2018-12-05	UYYF01	5778
GCA_900199415.2	LSINAPIS	Leptidea sinapis	189913							Annotation submitted by Evolutionary Biology Centre	Scaffold	2019-08-26	FZQP02	7090
GCA_015849275.1	UCR_MambNRRL28271_1.0	Actinomortierella ambigua	1343610		NRRL 28271					Annotation submitted by DOE Joint Genome Institute	Scaffold	2020-12-08	JAAAIA01	2033
GCA_002897355.1	Aurantiochytrium_FCC1311_v1	Hondaea fermentalgiana	2315210							Annotation submitted by Fermentalg - 4 Rue Riviere - Libourne - 33500 - France	Scaffold	2017-12-21	BEYU01	2232
GCA_000582765.1	AKH_PRJEB1535_v1	Phytomonas sp. EM1	479712					EM1		Annotation submitted by Genoscope CEA	Scaffold	2014-02-26	CAVQ01	138
GCA_900169345.1	Lasallia pustulata v1	Lasallia pustulata	136370							Annotation submitted by IPF	Scaffold	2017-04-14	FWEW01	3891
GCA_003427335.1	Cpunctatum_v1.0	Chiloscyllium punctatum	137246							Annotation submitted by Phyloinformatics Unit, Division of Bio-Function Dynamics Imaging, Center for Life Science Technologies, RIKEN	Scaffold	2018-08-02	BEZZ01	280241
GCA_016984175.1	BGI_Aspa_1.0	Atractosteus spatula	7917					Allg_001		Annotation submitted by BGI	Scaffold	2021-02-26	JAAWVO01	81747
GCA_027579565.1	UCR_CoerCBS939.97_1.0	Coemansia erecta	147472		CBS 939.97					Annotation submitted by DOE Joint Genome Institute	Scaffold	2023-01-06	JANBUT01	444
GCA_015847195.1	UCR_MzychaePUSTF9C_1.0	Linnemannia zychae	979765		PUST F9C					Annotation submitted by DOE Joint Genome Institute	Scaffold	2020-12-08	JAAAHV01	2068
GCA_030272935.1	UoO_Maeth_FR	Microctonus aethiopoides	144406					French		Annotation submitted by University of Otago	Scaffold	2023-06-15	JAQZZK01	10396
GCA_963377065.1	EvCCMP421	Effrenium voratum	2562239							Annotation submitted by Australian Centre for Ecogenomics, School of Chemistry and Molecular Biosciences, University of Queensland	Scaffold	2023-08-23	CAUJMZ01	38022
GCA_016097855.1	UCR_MgamAD045_1.0	Linnemannia gamsii	64522		AD045					Annotation submitted by DOE Joint Genome Institute	Scaffold	2020-12-16	JAAAIM01	3359
GCA_001702395.2	DHEL01v2	Diaporthe helianthi	158607		7/96					Annotation submitted by University of Western Brittany	Scaffold	2018-02-06	MAVT02	7376
GCA_014338405.1	P_miyazaki_1.0.pg.lrna	Paragonimus skrjabini miyazakii	59628		Japan					Annotation submitted by The Genome Institute	Scaffold	2020-08-31	JTDE01	22318
GCA_027603655.1	ASM2760365v1	Entophlyctis luteolus	109932		JEL0120					Annotation submitted by DOE Joint Genome Institute	Contig	2023-01-09	JADGJS01	2442
GCA_015852375.1	UCR_MclonKOD947_1.0	Podila clonocystis	979688		KOD947					Annotation submitted by DOE Joint Genome Institute	Scaffold	2020-12-08	JAAAIF01	3048
GCA_015499975.1	UCR_DornN22417_1.0	Dissophora ornata	979620		Z 71					Annotation submitted by DOE Joint Genome Institute	Scaffold	2020-11-16	JAAAUD01	4002
GCA_905332145.1	Rg_RM15_maxhap_genomic_v1	Rotaria magnacalcarata	392030							Annotation submitted by IMPERIAL COLLEGE LONDON	Scaffold	2021-03-20	CAJOBF01	38569
GCA_027579785.1	UCR_CoacCBS516.66_1.0	Coemansia aciculifera	417176		CBS 516.66					Annotation submitted by DOE Joint Genome Institute	Scaffold	2023-01-06	JANBVA01	1806
GCA_016098015.1	UCR_MmultNRRL6456_1.0	Gamsiella multidivaricata	101098		NRRL 6456					Annotation submitted by DOE Joint Genome Institute	Scaffold	2020-12-16	JAAAIT01	3523
GCA_002148645.1	ASM214864v1	Trichinella nativa	6335		ISS45					Annotation submitted by The Genome Institute	Scaffold	2017-05-18	LVZM01	24274
GCA_027575665.1	UCR_KalabBenny63K_1.0	Kickxella alabastrina	61397		Benny 63K					Annotation submitted by University of Florida	Contig	2023-01-06	JANBPG01	4450
GCA_015852435.1	UCR_MepiAD058	Podila epicladia	979697		AD058					Annotation submitted by DOE Joint Genome Institute	Scaffold	2020-12-08	JAAAIJ01	3610
GCA_003990765.1	Jimfl_AD_1	Jimgerdemannia flammicorona	994334		AD002					Annotation submitted by DOE Joint Genome Institute	Contig	2019-01-02	RBNJ01	35354
GCA_016097925.1	UCR_MhortAD009_1.0	Podila horticola	311239		AD009					Annotation submitted by DOE Joint Genome Institute	Scaffold	2020-12-16	JAAAIQ01	3587
GCA_016097885.1	UCR_MgloAD054_1.0	Dissophora globulifera	979702		AD054					Annotation submitted by DOE Joint Genome Institute	Scaffold	2020-12-16	JAAAIO01	4204
GCA_016097945.1	UCR_MhumKOD1050_1.0	Podila humilis	64523		KOD1050					Annotation submitted by DOE Joint Genome Institute	Scaffold	2020-12-16	JAAAIR01	2079
GCA_026229895.1	ASM2622989v1	Colletotrichum tanaceti	1306861		BRIP57315					Annotation submitted by The University of Melbourne	Scaffold	2022-11-17	RKSP01	10629
GCA_027577055.1	UCR_CothIMI214463_1.0	Coemansia thaxteri	2663907		IMI 214463					Annotation submitted by DOE Joint Genome Institute	Scaffold	2023-01-06	JANBQE01	2470
GCA_905332155.1	Rg_RM9_maxhap_genomic_v1	Rotaria magnacalcarata	392030							Annotation submitted by IMPERIAL COLLEGE LONDON	Scaffold	2021-03-20	CAJOBG01	126446
GCA_030272655.1	UoO_Maeth_MO	Microctonus aethiopoides	144406					Moroccan		Annotation submitted by University of Otago	Scaffold	2023-06-15	JAQZZJ01	13736
GCA_016097865.1	UCR_MgamNVP60_1.0	Linnemannia gamsii	64522		NVP60					Annotation submitted by DOE Joint Genome Institute	Scaffold	2020-12-16	JAAAIN01	6418
GCA_015852335.1	UCR_MchalNRRL2769 _1.0	Entomortierella chlamydospora	101097		NRRL 2769					Annotation submitted by DOE Joint Genome Institute	Scaffold	2020-12-08	JAAAID01	5304
GCA_027579345.1	UCR_CoerIMI279145_1.0	Coemansia erecta	147472		IMI 279145					Annotation submitted by DOE Joint Genome Institute	Scaffold	2023-01-06	JANBUS01	3931
GCA_015847225.1	UCR_Ltran_NRRL5525_1.0	Lobosporangium transversale	64571		NRRL 5525					Annotation submitted by DOE Joint Genome Institute	Scaffold	2020-12-08	JAAAHT01	6417
GCA_910592245.1	Gigaspora_margarita_120-4_pot_B_10_14	Gigaspora margarita	4874		120-4 pot B 10/14			NC121		Annotation submitted by UPPSALA UNIVERISTY	Contig	2021-12-03	CAJVQB01	173647
GCA_027579195.1	UCR_CoemCBS108938_1.0	Coemansia spiralis	417178		CBS 108938					Annotation submitted by DOE Joint Genome Institute	Scaffold	2023-01-06	JANBTY01	3873
GCA_027579355.1	UCR_CoerBCRC34228_1.0	Coemansia erecta	147472		BCRC 34228					Annotation submitted by DOE Joint Genome Institute	Scaffold	2023-01-06	JANBUV01	5170
GCA_027579645.1	UCR_CoacCBS109363_1.0	Coemansia aciculifera	417176		CBS 190363					Annotation submitted by DOE Joint Genome Institute	Scaffold	2023-01-06	JANBVB01	3815
GCA_027575875.1	UCR_KialRSA2140_1.0	Kickxella alabastrina	61397		RSA 2140					Annotation submitted by DOE Joint Genome Institute	Scaffold	2023-01-06	JANBPX01	5068
GCA_027579325.1	UCR_CofuBCRC34190_1.0	Coemansia furcata	417177		BCRC 34190					Annotation submitted by DOE Joint Genome Institute	Scaffold	2023-01-06	JANBUQ01	5496
GCA_002087875.1	ASM208787v1	Hepatospora eriocheir	1081669		canceri					Annotation submitted by University of Exeter	Contig	2017-04-12	LTAI01	2344
GCA_027579585.1	UCR_CoerCBS336.87_1.0	Coemansia erecta	147472		CBS 336.87					Annotation submitted by DOE Joint Genome Institute	Scaffold	2023-01-06	JANBUU01	4297
GCA_027579485.1	UCR_ConaCBS109400_1.0	Coemansia nantahalensis	2789366		CBS 109400					Annotation submitted by DOE Joint Genome Institute	Contig	2023-01-06	JANBUI01	5321
GCA_027575835.1	UCR_LipeNRRL3781_1.0	Linderina pennispora	61395		NRRL 3781					Annotation submitted by DOE Joint Genome Institute	Scaffold	2023-01-06	JANBPV01	8877
GCA_027579955.1	UCR_CoacBCRC34181_1.0	Coemansia aciculifera	417176		BCRC 34181					Annotation submitted by DOE Joint Genome Institute	Scaffold	2023-01-06	JANBVC01	4649
GCA_027579625.1	UCR_CoasBCRC34628_1.0	Coemansia asiatica	1052880		BCRC 34628					Annotation submitted by DOE Joint Genome Institute	Scaffold	2023-01-06	JANBUX01	4927
GCA_905332115.1	Rg_MAG1_maxhap_genomic_v1	Rotaria magnacalcarata	392030							Annotation submitted by IMPERIAL COLLEGE LONDON	Scaffold	2021-05-20	CAJOBH01	293619
GCA_006369765.1	ASM636976v1	Halteria grandinella	5974		QDHG01					Annotation submitted by Institute of Evolution & Marine Biodiversity, Ocean University of China, Qingdao 266003, China	Scaffold	2019-06-17	RRYP01	40422
GCA_000499445.1	EPH001	Eimeria praecox	51316		Houghton					Annotation submitted by SC	Scaffold	2013-11-08	CBUU01	21348
GCA_905332135.1	Rg_MAG3_maxhap_genomic_v1	Rotaria magnacalcarata	392030							Annotation submitted by IMPERIAL COLLEGE LONDON	Scaffold	2021-05-20	CAJOBI01	374008
GCA_905332125.1	Rg_MAG2_maxhap_genomic_v1	Rotaria magnacalcarata	392030							Annotation submitted by IMPERIAL COLLEGE LONDON	Scaffold	2021-05-20	CAJOBJ01	386620
GCA_017911135.1	ASM1791113v1	Pneumocystis canis	2698477		Ck2					Annotation submitted by National Institutes Of Health	Scaffold	2021-04-05	JABVCJ01	310
GCA_035040045.1	WUR_ZasSy_1	Zasmidium cellare	395010		P124					Annotation submitted by Wageningen University and Research	Scaffold	2024-01-04	JAXOVC01	16
GCA_045282135.1	ASM4528213v1	Nakaseomyces bracarensis	273131		CBM6					Annotation submitted by BSC	Contig	2024-11-25	JBEVYD01	13
GCA_000507485.3	Kwon_mang_CBS8886_V1	Kwoniella mangroviensis CBS 8886	1296123		CBS 8886					Annotation submitted by Broad Institute	Scaffold	2016-07-14	ASQF01	41
GCA_000507885.2	Kwon_mang_CBS10435_V2	Kwoniella mangroviensis CBS 10435	1331196		CBS 10435					Annotation submitted by Broad Institute	Scaffold	2016-07-14	ASQD01	37
GCA_900322975.1	Pse_flocc_v1	Pseudozyma flocculosa	84751		DAOM196992					Annotation submitted by Technische Universitat Munchen - WZW	Contig	2019-08-26	OOIP01	168
GCA_052575955.1	ASM5257595v1	Ordospora colligata	174685		GB-LK1-1					Annotation submitted by University of Basel	Contig	2025-09-12	JBLVQE01	9
GCA_024244335.1	ASM2424433v1	Aureobasidium subglaciale	1042127		EXF-4632					Annotation submitted by Biotechnical Faculty, University of Ljubljana	Contig	2022-07-13	SWAY01	190
GCA_024244225.1	ASM2424422v1	Aureobasidium subglaciale	1042127		EXF-12336					Annotation submitted by Biotechnical Faculty, University of Ljubljana	Contig	2022-07-13	SWBE01	198
GCA_024244315.1	ASM2424431v1	Aureobasidium subglaciale	1042127		EXF-2425					Annotation submitted by Biotechnical Faculty, University of Ljubljana	Contig	2022-07-13	SWAZ01	270
GCA_024244585.1	ASM2424458v1	Aureobasidium subglaciale	1042127		EXF-2491					Annotation submitted by Biotechnical Faculty, University of Ljubljana	Contig	2022-07-13	SWAX01	265
GCA_024244235.1	ASM2424423v1	Aureobasidium subglaciale	1042127		EXF-2427					Annotation submitted by Biotechnical Faculty, University of Ljubljana	Contig	2022-07-13	SWBD01	280
GCA_024244305.1	ASM2424430v1	Aureobasidium subglaciale	1042127		EXF-2428					Annotation submitted by Biotechnical Faculty, University of Ljubljana	Contig	2022-07-13	SWBA01	266
GCA_024244255.1	ASM2424425v1	Aureobasidium subglaciale	1042127		EXF-11962					Annotation submitted by Biotechnical Faculty, University of Ljubljana	Contig	2022-07-13	SWBC01	181
GCA_024244275.1	ASM2424427v1	Aureobasidium subglaciale	1042127		EXF-2450					Annotation submitted by Biotechnical Faculty, University of Ljubljana	Contig	2022-07-13	SWBB01	410
GCA_004324935.1	Ordospora GBEP v1	Ordospora colligata	174685					GB-EP-1		Annotation submitted by Illinois Institute of Technology	Contig	2019-03-05	PITG01	18
GCA_911174935.1	Pnal_ESE00253	Penicillium nalgiovense	60175							Annotation submitted by University Paris-Sud	Scaffold	2022-09-22	CAJVNQ01	479
GCA_004917865.1	ASM491786v1	Wallemia ichthyophaga	245174		EXF-8623					Annotation submitted by Biotechnical Faculty, University of Ljubljana	Contig	2019-04-26	SPOD01	224
GCA_004918305.1	ASM491830v1	Wallemia ichthyophaga	245174		EXF-6067					Annotation submitted by Biotechnical Faculty, University of Ljubljana	Contig	2019-04-26	SPOM01	196
GCA_004918405.1	ASM491840v1	Wallemia ichthyophaga	245174		EXF-6065					Annotation submitted by Biotechnical Faculty, University of Ljubljana	Contig	2019-04-26	SPOO01	197
GCA_004918655.1	ASM491865v1	Wallemia ichthyophaga	245174		EXF-5676					Annotation submitted by Biotechnical Faculty, University of Ljubljana	Contig	2019-04-26	SPOP01	194
GCA_004918735.1	ASM491873v1	Wallemia ichthyophaga	245174		EXF-6066					Annotation submitted by Biotechnical Faculty, University of Ljubljana	Contig	2019-04-26	SPON01	201
GCA_004918885.1	ASM491888v1	Wallemia ichthyophaga	245174		EXF-10937					Annotation submitted by Biotechnical Faculty, University of Ljubljana	Contig	2019-04-26	SPNY01	195
GCA_004918235.1	ASM491823v1	Wallemia ichthyophaga	245174		EXF-8622					Annotation submitted by Biotechnical Faculty, University of Ljubljana	Contig	2019-04-26	SPOE01	290
GCA_911175205.1	Pnal_ESE00265	Penicillium nalgiovense	60175							Annotation submitted by University Paris-Sud	Scaffold	2022-09-22	CAJVOA01	532
GCA_004918455.1	ASM491845v1	Wallemia ichthyophaga	245174		EXF-8621					Annotation submitted by Biotechnical Faculty, University of Ljubljana	Contig	2019-04-26	SPOF01	228
GCA_920106075.1	Pnal_LCP03435	Penicillium nalgiovense	60175							Annotation submitted by University Paris-Sud	Scaffold	2022-07-01	CAKKTF01	512
GCA_911174915.1	Pnal_ESE00257	Penicillium nalgiovense	60175							Annotation submitted by University Paris-Sud	Scaffold	2022-09-22	CAJVOM01	476
GCA_000616865.1	Tric_soud_CBS_452_61_V1	Trichophyton soudanense CBS 452.61	1215331		CBS 452.61					Annotation submitted by Broad Institute	Scaffold	2014-04-08	AOKW01	420
GCA_911175305.1	Pnal_LCP03915	Penicillium nalgiovense	60175							Annotation submitted by University Paris-Sud	Scaffold	2022-09-22	CAJVOW01	503
GCA_911175125.1	Pnal_ESE00264	Penicillium nalgiovense	60175							Annotation submitted by University Paris-Sud	Scaffold	2022-09-22	CAJVOH01	616
GCA_004917895.1	ASM491789v1	Wallemia ichthyophaga	245174		EXF-8618					Annotation submitted by Biotechnical Faculty, University of Ljubljana	Contig	2019-04-26	SPOH01	249
GCA_004325055.1	Ordospora FISK v1	Ordospora colligata	174685					FI-SK-17-1		Annotation submitted by Illinois Institute of Technology	Contig	2019-03-05	PITH01	26
GCA_004918445.1	ASM491844v1	Wallemia ichthyophaga	245174		EXF-8619					Annotation submitted by Biotechnical Faculty, University of Ljubljana	Contig	2019-04-26	SPOG01	235
GCA_004918315.1	ASM491831v1	Wallemia ichthyophaga	245174		EXF-12845					Annotation submitted by Biotechnical Faculty, University of Ljubljana	Contig	2019-04-26	SPNX01	227
GCA_004917845.1	ASM491784v1	Wallemia ichthyophaga	245174		EXF-8760					Annotation submitted by Biotechnical Faculty, University of Ljubljana	Contig	2019-04-26	SPOB01	229
GCA_004918895.1	ASM491889v1	Wallemia ichthyophaga	245174		EXF-759					Annotation submitted by Biotechnical Faculty, University of Ljubljana	Contig	2019-04-26	SPOR01	236
GCA_004918015.1	ASM491801v1	Wallemia ichthyophaga	245174		EXF-8624					Annotation submitted by Biotechnical Faculty, University of Ljubljana	Contig	2019-04-26	SPOC01	265
GCA_004918065.1	ASM491806v1	Wallemia ichthyophaga	245174		EXF-3555					Annotation submitted by Biotechnical Faculty, University of Ljubljana	Contig	2019-04-26	SPOQ01	233
GCA_004918625.1	ASM491862v1	Wallemia ichthyophaga	245174		EXF-6069					Annotation submitted by Biotechnical Faculty, University of Ljubljana	Contig	2019-04-26	SPOK01	252
GCA_004918345.1	ASM491834v1	Wallemia ichthyophaga	245174		EXF-8761					Annotation submitted by Biotechnical Faculty, University of Ljubljana	Contig	2019-04-26	SPOA01	229
GCA_000190615.1	Nema_parisii_ERTm3_V1	Nematocida parisii ERTm3	935791		ERTm3					Annotation submitted by Broad Institute	Scaffold	2011-03-01	AEOO01	53
GCA_004918745.1	ASM491874v1	Wallemia ichthyophaga	245174		EXF-6070					Annotation submitted by Biotechnical Faculty, University of Ljubljana	Contig	2019-04-26	SPOJ01	255
GCA_004918415.1	ASM491841v1	Wallemia ichthyophaga	245174		EXF-6068					Annotation submitted by Biotechnical Faculty, University of Ljubljana	Contig	2019-04-26	SPOL01	224
GCA_004324945.1	Ordospora NOV7 v1	Ordospora colligata	174685					NO-V-7		Annotation submitted by Illinois Institute of Technology	Contig	2019-03-05	PITF01	21
GCA_000827495.1	Hypsu1	Hypholoma sublateritium FD-334 SS-4	945553		FD-334 SS-4					Annotation submitted by JGI	Scaffold	2015-03-02	JMSJ01	704
GCA_911639145.1	Pnal_LCP03991	Penicillium nalgiovense	60175							Annotation submitted by University Paris-Sud	Scaffold	2022-07-01	CAJVRG01	611
GCA_911174875.1	Pnal_DTO204-F1	Penicillium nalgiovense	60175							Annotation submitted by University Paris-Sud	Scaffold	2022-09-22	CAJVNS01	459
GCA_002072425.1	ASM207242v1	Penicillium nalgiovense	60175		IBT 13039					Annotation submitted by Chalmers University of Technology	Scaffold	2017-03-24	MOOB01	1954
GCA_911174895.1	Pnal_ESE00260	Penicillium nalgiovense	60175							Annotation submitted by University Paris-Sud	Scaffold	2022-09-22	CAJVOF01	628
GCA_911174845.1	Pnal_ESE00258	Penicillium nalgiovense	60175							Annotation submitted by University Paris-Sud	Scaffold	2022-09-22	CAJVOE01	619
GCA_911639135.1	Pnal_LCP05232	Penicillium nalgiovense	60175							Annotation submitted by University Paris-Sud	Scaffold	2022-07-01	CAJVRF01	624
GCA_911175015.1	Pnal_DTO334-C1	Penicillium nalgiovense	60175							Annotation submitted by University Paris-Sud	Scaffold	2022-09-22	CAJVNT01	612
GCA_911175025.1	Pnal_DTO334-B7	Penicillium nalgiovense	60175							Annotation submitted by University Paris-Sud	Scaffold	2022-09-22	CAJVOK01	620
GCA_911175245.1	Pnal_ESE00254	Penicillium nalgiovense	60175							Annotation submitted by University Paris-Sud	Scaffold	2022-09-22	CAJVNU01	618
GCA_911175185.1	Pnal_ESE00263	Penicillium nalgiovense	60175							Annotation submitted by University Paris-Sud	Scaffold	2022-09-22	CAJVOG01	663
GCA_911174985.1	Pnal_DTO259-D5	Penicillium nalgiovense	60175							Annotation submitted by University Paris-Sud	Scaffold	2022-09-22	CAJVOJ01	653
GCA_911175325.1	Pnal_ESE00256	Penicillium nalgiovense	60175							Annotation submitted by University Paris-Sud	Scaffold	2022-09-22	CAJVNV01	647
GCA_911174975.1	Pnal_ESE00259	Penicillium nalgiovense	60175							Annotation submitted by University Paris-Sud	Scaffold	2022-09-22	CAJVNZ01	647
GCA_911174865.1	Pnal_DTO335-D4	Penicillium nalgiovense	60175							Annotation submitted by University Paris-Sud	Scaffold	2022-09-22	CAJVOB01	633
GCA_911175295.1	Pnal_DTO053-A9	Penicillium nalgiovense	60175							Annotation submitted by University Paris-Sud	Scaffold	2022-09-22	CAJVOT01	622
GCA_911175155.1	Pnal_ESE00255	Penicillium nalgiovense	60175							Annotation submitted by University Paris-Sud	Scaffold	2022-09-22	CAJVOL01	645
GCA_911175315.1	Pnal_CBS297.97	Penicillium nalgiovense	60175							Annotation submitted by University Paris-Sud	Scaffold	2022-09-22	CAJVNY01	650
GCA_911175145.1	Pnal_ESE00261	Penicillium nalgiovense	60175							Annotation submitted by University Paris-Sud	Scaffold	2022-09-22	CAJVOV01	627
GCA_010093985.1	Cerzm1	Cercospora zeae-maydis SCOH1-5	717836		SCOH1-5					Annotation submitted by JGI	Scaffold	2020-01-31	JAAEIV01	917
GCA_911175225.1	Pnal_CBS318.92	Penicillium nalgiovense	60175							Annotation submitted by University Paris-Sud	Scaffold	2022-09-22	CAJVON01	674
GCA_911175035.1	Pnal_ESE00268	Penicillium nalgiovense	60175							Annotation submitted by University Paris-Sud	Scaffold	2022-09-22	CAJVOD01	735
GCA_911175165.1	Pnal_ESE00267	Penicillium nalgiovense	60175							Annotation submitted by University Paris-Sud	Scaffold	2022-09-22	CAJVNR01	692
GCA_911174885.1	Pnal_CBS112438	Penicillium nalgiovense	60175							Annotation submitted by University Paris-Sud	Scaffold	2022-09-22	CAJVNN01	719
GCA_024243695.1	npar_JUm2132	Nematocida parisii	586133		JUm2132					Annotation submitted by University of Toronto	Scaffold	2022-07-13	JALPMG01	167
GCA_024243675.1	npar_JUm2106	Nematocida parisii	586133		JUm2106					Annotation submitted by University of Toronto	Scaffold	2022-07-13	JALPMH01	163
GCA_021223965.1	ASM2122396v1	Drosophila sulfurigaster	88886					BGI-SZ-2011i		Annotation submitted by BGI-Shenzhen	Scaffold	2021-12-17	JAJJHZ01	6259
GCA_024243875.1	npar_LUAm12	Nematocida parisii	586133		LUAm12					Annotation submitted by University of Toronto	Scaffold	2022-07-13	JALPMP01	149
GCA_024243855.1	npar_LUAm13	Nematocida parisii	586133		LUAm13					Annotation submitted by University of Toronto	Scaffold	2022-07-13	JALPMO01	176
GCA_024243715.1	npar_JUm1762	Nematocida parisii	586133		JUm1762					Annotation submitted by University of Toronto	Scaffold	2022-07-13	JALPMK01	187
GCA_024243795.1	npar_JUm1248	Nematocida parisii	586133		JUm1248					Annotation submitted by University of Toronto	Scaffold	2022-07-13	JALPML01	191
GCA_004918335.1	ASM491833v1	Wallemia ichthyophaga	245174		EXF-10826					Annotation submitted by Biotechnical Faculty, University of Ljubljana	Contig	2019-04-26	SPNZ01	685
GCA_004918755.1	ASM491875v1	Wallemia ichthyophaga	245174		EXF-6200					Annotation submitted by Biotechnical Faculty, University of Ljubljana	Contig	2019-04-26	SPOI01	962
GCA_000827335.1	Pisolithus tinctorius Marx 270 v1.0	Pisolithus tinctorius Marx 270	870435		Marx 270					Annotation submitted by DOE Joint Genome Institute	Scaffold	2015-02-03	JMDO01	610
GCA_911175235.1	Pnal_ESE00262	Penicillium nalgiovense	60175							Annotation submitted by University Paris-Sud	Scaffold	2022-09-22	CAJVOX01	2542
GCA_000385855.2	Annc_alge_PRA109_V4	Anncaliia algerae PRA109	1240240		PRA109					Annotation submitted by Broad Institute	Scaffold	2014-05-06	AOMV02	7113
GCA_000492115.1	T_rangeli_SC58v1	Trypanosoma rangeli SC58	429131		SC58					Annotation submitted by BiowebDB	Contig	2013-10-30	AUPL01	9066
GCA_965225055.1	Linum_grandiflorum_haplotype_2_assembly_n_2025_03	Linum grandiflorum	559336							Annotation submitted by Stockholm University	Contig	2025-07-10	CBDDFH01	434
GCA_965232625.1	Linum_perenne_haplotype_2_assembly_n_2025_03	Linum perenne	35941							Annotation submitted by Stockholm University	Contig	2025-07-10	CBDDQB01	512
GCA_037055385.1	S_lineage_1.0	Polyplax serrata	468196					98ZLc_SE		Annotation submitted by Faculty of Science, University of South Bohemia	Contig	2024-03-07	JAWJWF01	88
GCA_965240515.1	Linum_perenne_haplotype_1_assembly_n_2025_03	Linum perenne	35941							Annotation submitted by Stockholm University	Contig	2025-07-11	CBDEYK01	903
GCA_904067145.1	BOKI2	Bursaphelenchus okinawaensis	465554		SH1			SH1		Annotation submitted by University of Miyazaki	Scaffold	2020-09-10	CAJFDH01	7
GCA_021399445.1	XylPMI703_1	Xylogone sp. PMI_703	2614602		PMI_703					Annotation submitted by DOE Joint Genome Institute	Contig	2022-01-10	JAJTUQ01	28
GCA_030272585.1	Bryopsis_sp._KO-2023_v1.0	Bryopsis sp. KO-2023	3041901		KO-2023					Annotation submitted by Nagoya University	Contig	2023-06-13	BSYQ01	27
GCA_028827225.1	ASM2882722v1	Penicillium sp. CMV-2018d	2184411		IBT 12396					Annotation submitted by Aalborg University	Contig	2023-02-23	JAPZBW01	7
GCA_028827775.1	ASM2882777v1	Penicillium malachiteum	1324776		IBT 13176					Annotation submitted by Aalborg University	Contig	2023-02-23	JAQJAM01	8
